idpoi,title,layer,type,tipo,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8280,Ac Hotel Palacio Universal,alojamientos,14,Hotel,Hotel de 4 estrelas,"Cánovas del Castillo, 28",36202,986449250,www.espanol.marriott.com/hotels/travel/vgopa-ac-hotel-palacio-universal,"O AC Hotel Palacio Universal, construído a finais do século XIX e situado no corazón da cidade. Encóntrase moi preto do centro histórico e non moi lonxe da praia, do paseo marítimo e do centro de exposicións.",http://www.turismodevigo.org/sites/turismodevigo/files/alo052.jpg,42.2400392950089,-8.7246151813054,,gl-ES
8291,Compostela,alojamientos,14,Hotel,Hotel de 2 estrelas,"García Olloqui, 5",36201,986228227,www.hcompostela.com,"O hotel dispón de 30 habitacións confortables equipadas co último en calidade e servizos, para facerlle do seu aloxamento na nosa cidade unha estancia agradable e satisfactoria.",http://www.turismodevigo.org/sites/turismodevigo/files/alo064.jpg,42.239720281362,-8.72439602489276,,gl-ES
8290,Coia,alojamientos,14,Hotel,Hotel de 4 estrelas,"Sanxenxo, 1",36209,986201820,www.hotelcoia.com/hotel-overview.html,"El hotel dispone de 12 salones para reuniones y convenciones de distintas capacidadess dotados de los mas modernos medios audiovisuales, restaurante, cafeteria snack,salon de t.v., garaje y parking gratuitos. Red wifi en todo el hotel.",,42.2191611706781,-8.74547999911297,,gl-ES
8289,Ciudad de Vigo,alojamientos,14,Hotel,Hotel de 4 estrelas,"Concepción Arenal, 5",36201,986227820,www.ciudaddevigo.com,"Amplas habitacións dotadas de mesa de traballo e conexión Wifi gratuíta, párking, salóns de reunións e congresos así coma unha ampla carta de restauración.",http://www.turismodevigo.org/sites/turismodevigo/files/alo062.jpg,42.2401549247422,-8.72086138243071,,gl-ES
8286,Casablanca,alojamientos,14,Hotel,Hotel de 2 estrelas,"México, 7",36204,986482712,www.hotelcasablancavigo.com,O hotel está situado en pleno centro da cidade e preto das principais rúas comerciais da cidade.,http://www.turismodevigo.org/sites/turismodevigo/files/alo059.jpg,42.2334741902694,-8.71500485130544,,gl-ES
8281,América,alojamientos,14,Hotel,Hotel de 3 estrelas,"Pablo Morillo, 6",36201,986438922,www.hotelamerica-vigo.com,"Modernas e acolledoras instalacións, servizo personalizado e de calidade e unha situación estratéxica no centro da cidade.",http://www.turismodevigo.org/sites/turismodevigo/files/alo053.jpg,42.2398594403046,-8.72184042125555,,gl-ES
8287,Celta,alojamientos,14,Hotel,Hotel de 2 estrelas,"México, 22",36204,986414699,www.hotelceltavigo.com,O hotel conta con 44 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo060.jpg,42.2329973817858,-8.7155813301487,,gl-ES
8285,Canaima,alojamientos,14,Hotel,Hotel de 2 estrelas,"García Barbón, 42",36201,986430934,www.hotelcanaimavigo.es,"El hotel dispone de 50 cómodas y amplias habitaciones todas exteriores, la mitad con terraza-galería a la avenida principal y las del ático con terraza.",,42.2368168044623,-8.71488069156882,,gl-ES
8284,Axis Vigo,alojamientos,14,Hotel,Hotel de 4 estrelas,"María Berdiales, 22",36203,986441112,www.hotelaxisvigo.com,"Hotel de recente apertura, ofrece dende a súa privilexiada ubicación no centro de Vigo a posibilidade de poder visitar a nosa cidade con toda comodidade.",http://www.turismodevigo.org/sites/turismodevigo/files/alo056.jpg,42.2356284258673,-8.71733390962759,,gl-ES
8288,Chipén,alojamientos,14,Hotel,Hotel de 1 estrela,"La Florida, 12",36210,986231281,www.hotelchipen.com,Inaugurado en 1985 e reformado completamente no 2005 encóntrase situado na Praza de América. Conta con praza de garaxe e as habitacións gozan de tódalas comodidades.,http://www.turismodevigo.org/sites/turismodevigo/files/alo061.jpg,42.219593675344,-8.73490936382597,,gl-ES
8302,Husa Bahía de Vigo,alojamientos,14,Hotel,Hotel de 4 estrelas,"Avda. Cánovas del Castillo, 24",36202,986226700,www.hotelbahiadevigo.com,O Sercotel Hotel Bahía de Vigo conta con 91 habitacións elegantemente decoradas e equipadas con bañeiras de hidromasaxe. Ten Internet Wifi gratis en tódalas súas instalacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo075.jpg,42.2400482511174,-8.72577196996189,,gl-ES
8308,México,alojamientos,14,Hotel,Hotel de 3 estrelas,"Vía Norte, 10",36204,986431666,www.mexicohotel.com,"Situado no centro de Vigo, con marabillosas vistas sobre a Ría, o Hotel México encóntrase a un paso da zona comercial e de ocio así coma do casco histórico e da área portuaria.",http://www.turismodevigo.org/sites/turismodevigo/files/alo081.jpg,42.2337550438392,-8.71278951192356,,gl-ES
8321,Puerta de Gamboa,alojamientos,14,Hotel,Hotel de 2 estrelas,Gamboa,36201,986227189,www.hotelpuertagamboa.com,"Estamos ubicados no casco antigo da cidade, a 50 metros do Porto Deportivo e a Estación Marítima, nun edificio do século XIX, que rehabilitamos completamente dotándoa de confort e funcionalidade.",http://www.turismodevigo.org/sites/turismodevigo/files/alo095.jpg,42.2389395257432,-8.72504024307929,,gl-ES
8320,Princesa,alojamientos,14,Hotel,Hotel de 1 estrela,"Fermín Penzol, 14",36202,986442013,www.hotelprincesavigo.es,"O hotel está situado no centro de Vigo, a só 100 metros do Porto Marítimo e a 50 metros do Teatro García Barbon, ó lado da Estación de Ferrocarril Adif.",http://www.turismodevigo.org/sites/turismodevigo/files/alo094.jpg,42.238252944599,-8.72491183778334,,gl-ES
8319,Playa Santa Baia,alojamientos,14,Hotel,Hotel de 1 estrela,"Avda. Atlántida, 121",36208,986214133,,O hotel dispón de 15 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo093.jpg,42.2213433239887,-8.76786260297968,,gl-ES
8318,Playa de Vigo,alojamientos,14,Hotel,Hotel de 1 estrela,Avda. de Samil,36212,986202020,www.hotelplayadevigo.com,"O hotel Playa de Vigo está situado en fronte da praia de Samil, un amplo areal con piñeirais con unha lonxitude de case 2 km, e 35 m de anchura media.",http://www.turismodevigo.org/sites/turismodevigo/files/alo092.jpg,42.2035767705844,-8.77648624749538,,gl-ES
8317,Pazo Los Escudos  Hotel Resort,alojamientos,14,Hotel,Hotel de 5 estrelas,"Avda. Atlántida, 106",36208,986820820,www.pazolosescudos.com,"O hotel atópase nun entorno incomparable xunto a unha praia situada a escasos kilómetros do centro da cidade. Ocupa dous edificios, un antigo Pazo galego totalmente reformado e un edificio de nova construcción de ambiente contemporáneo.",http://www.turismodevigo.org/sites/turismodevigo/files/alo090.jpg,42.2237403627321,-8.76161059073016,,gl-ES
8316,Pantón,alojamientos,14,Hotel,Hotel de 1 estrela,"Lepanto, 18",36201,986224270,www.hotelpanton.com,"Estratéxicamente situado no centro da cidade de Vigo, o Hotel Pantón é un establecemento familiar que conta con párking propio e gratuito no mesmo edificio.",http://www.turismodevigo.org/sites/turismodevigo/files/alo089.jpg,42.2347924776436,-8.71538428809984,,gl-ES
8301,Hesperia Vigo,alojamientos,14,Hotel,Hotel de 4 estrelas,"Avda. La Florida, 60",36210,986296600,www.hesperia.com,"Situado no corazón do distrito comercial xunto a Praza de América, o Hesperia Vigo combina a ubicación ideal con comodidades de nivel superior. Dispón de 123 habitacións e acceso gratuíto a internet.",http://www.turismodevigo.org/sites/turismodevigo/files/alo074.jpg,42.2157396852384,-8.7405934016528,,gl-ES
8315,Ogalia,alojamientos,14,Hotel,Hotel de 2 estrelas,"Lepanto, 10",36201,986222228,www.hotelogalia.es,"Aloxado nunha construcción totalmente nova, e inaugurado en 2006, o Hotel Ogalia é un moderno establecemento urbano, situado no centro de Vigo, en plena zona comercial e de negocios da cidade.",http://www.turismodevigo.org/sites/turismodevigo/files/alo088.jpg,42.234800884897,-8.71578341618483,,gl-ES
8314,O Pazo,alojamientos,14,Hotel,Hotel de 1 estrela,"Campos, s/n",36213,986236000,www.residenciaopazo.com,Dispón de 13 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo087.jpg,42.2047671042478,-8.73138564828254,,gl-ES
8304,Junquera,alojamientos,14,Hotel,Hotel de 2 estrelas,"Uruguay, 19-21",36201,986434888,www.hoteljunquera.com,Hotel Junquera ofrece unha situación inmellorable en pleno centro financeiro de Vigo. Conta con sala de reunións para 40 persoas e dispón de 63 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo077.jpg,42.2362948135475,-8.71748197090733,,gl-ES
8305,La Suite,alojamientos,14,Hotel,Hotel de 2 estrelas,"José de la Peña, 22",36208,986247664,www.lasuitehotel.es,O hotel dispón de 12 habitacións con unha capacidade  total de 24 prazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo078.jpg,42.2222534778022,-8.74951414838685,,gl-ES
8306,Lino Vigo,alojamientos,14,Hotel,Hotel de 2 estrelas,"Rúa Lepanto, 26",1º y 2º,36201,986439311,El hotel dispone de 46 habitacioens.,,42.234547303965,-8.71520321696971,,gl-ES
8307,"Mar, Del",alojamientos,14,Hotel,Hotel de 1 estrela,"Luis Taboada, 34",36201,986436811,www.hotel-del-mar.com,"En pleno centro financeiro e comercial da cidade de Vigo, xunto ó Club Náutico e ó paseo marítimo, próximo ó casco antigo e con fácil acceso ás praias encóntrase o Hotel del mar.",http://www.turismodevigo.org/sites/turismodevigo/files/alo080.jpg,42.239894341399,-8.72093311860883,,gl-ES
8309,Motel Caribe,alojamientos,14,Hotel,Hotel de 3 estrelas,"Cañiza, 41",36213,986238484,www.motelcaribe.es,O hotel dispón de 55 habitacións con unha capacidade  total de 110 prazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo082.jpg,42.2096683398417,-8.75264589929514,,gl-ES
8310,Náutico,alojamientos,14,Hotel,Hotel de 1 estrela,"Luis Taboada, 28",36201,986122440,www.hotelnautico.net,En pleno centro comercial e a moi poucos metros do paseo marítimo onde se encontra o Club Náutico e Porto Comercial. Dispón dun Párking a 30 metros do Hotel.,http://www.turismodevigo.org/sites/turismodevigo/files/alo083.jpg,42.2398923926431,-8.72140334672488,,gl-ES
8264,Pensión Residencia Real,alojamientos,24,Pensión,Pensión 1 estrela,"Rúa Real, 22 - 1º",36202,986221429,www.hostalrealenvigo.com,Dispón de 4 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo036.jpg,42.239107626715,-8.72732559585762,,gl-ES
8240,Ancla Dorada,alojamientos,24,Pensión,Pensión 2 estrelas,"Irmandiños, 22",36203,986436607,www.ancladorada.com,A pensión conta con 28 prazas repartidas en 19 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo012.jpg,42.2355070511155,-8.71686916179769,,gl-ES
8278,Playa Samil,alojamientos,22,Camping,Cámping de 3ª Categoría,"Avenida de Samil, 71",36212,986240210,www.campingplayasamil.com,Conta con 265 prazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo050.jpg,42.2058898594448,-8.77660320467861,,gl-ES
8277,Islas Cíes,alojamientos,22,Camping,Cámping de 3ª Categoría,Isla del Faro (Islas Cíes),36211,986438358,www.campingislascies.com,Conta con 800 prazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo049.jpg,42.2211758867683,-8.9058324343757,,gl-ES
8276,Canido,alojamientos,22,Camping,Cámping de 2ª Categoría,"Praia de Canido, nº 151",36390,986462072,www.campingcanido.es,Conta con 152 prazas.,http://www.turismodevigo.org/sites/turismodevigo/files/alo048.jpg,42.1938599649832,-8.79608822577247,,gl-ES
8252,La Estradense,alojamientos,24,Pensión,Pensión 2 estrelas,"Alfonso XIII, 46",36201,986431512,,Dispón de 20 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo024.jpg,42.2356450411197,-8.71581746685737,,gl-ES
8251,Illas Cíes,alojamientos,24,Pensión,Pensión 1 estrela,"Martín Codax, 7",1º,36201,986224378,La pensión cuenta con 7 plazas repartidas en 5 habitaciones.,,42.2355841178181,-8.71644838646638,,gl-ES
8250,Gran Vía,alojamientos,24,Pensión,Pensión 3 estrelas,"Gran Vía, 41-5º",36204,986415444,www.hostalgranvia.com,A pensión conta con 28 prazas repartidas en 15 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo022.jpg,42.2313289886964,-8.7180447336453,,gl-ES
8248,"Estrella, La",alojamientos,24,Pensión,Pensión 1 estrela,"Martín Codax, 5",36204,986225035,www.laestrellavigo.es,Dispón de 6 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo020.jpg,42.2356880684808,-8.71637084209452,,gl-ES
8247,Continental,alojamientos,24,Pensión,Pensión 3 estrelas,"Baixada á Fonte, 3",36202,986220764,,A pensión conta con 18 prazas repartidas en 13 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo019.jpg,42.2396148890858,-8.72556650825868,,gl-ES
8246,Consuelo,alojamientos,24,Pensión,Pensión 1 estrela,"Estr. Provincial, 26",2º - 4º,36214,,La pensión cuenta con 7 plazas repartidas en 5 habitaciones.,,42.2272039763516,-8.71757172379448,,gl-ES
8245,Casais,alojamientos,24,Pensión,Pensión 2 estrelas,"Lepanto, 15",36201,886112956,www.hostalcasaisvigo.com,Este pequeno hostal de estilo tradicional ofrécelle un aloxamento confortable e unha boa situación no centro da bonita cidade galega de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/alo017.jpg,42.2348789591465,-8.71556164357418,,gl-ES
8244,Casa Roade,alojamientos,24,Pensión,Pensión 1 estrela,"Baixada Praia Saiáns, 152",36392,986207712,,La pensión cuenta con 8 prazas repartidas en 5 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo016.jpg,42.1730409008897,-8.81230384128116,,gl-ES
8243,Buenos Aires,alojamientos,24,Pensión,Pensión 3 estrelas,"Marqués de Valladares, 56",36201,986433924,,A pensión conta con 33 prazas repartidas en 18 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo015.jpg,42.2380130534338,-8.71946067098535,,gl-ES
8241,Bouzas,alojamientos,24,Pensión,Pensión 3 estrelas,"José de La Peña, 22",36208,986239565,,A pensión dispón de 18 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo013.jpg,42.2222375760967,-8.74932936934321,,gl-ES
8238,Agra,alojamientos,24,Pensión,Pensión 1 estrela,"Tomás A. Alonso, 66. 1º",36208,986235125,www.hostalagra.com,"Está situado  a 100 m do porto de Vigo, a 15 minutos do aeroporto e a 10 minutos da estación do tren e de autobuses. Dispón dunha parada de taxis ó lado do hostal.",http://www.turismodevigo.org/sites/turismodevigo/files/alo010.jpg,42.2242344659861,-8.73696098686241,,gl-ES
8237,A Pedra,alojamientos,24,Pensión,Pensión 3 estrelas,"Praza da Pedra, 7",36202,986431594,,A pensión conta con 22 prazas repartidas en 12 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo009.jpg,42.2394801550979,-8.72682436932027,,gl-ES
8236,Ipanema,alojamientos,14,Hotel,Hotel de 3 estrelas,"Vázquez Varela, 31",36204,986471344,www.hotelipanema.com,"Conta con 60 habitacións renovadas en xaneiro de 2011. Especializado en clientes de empresa, as súas instalacións dispoñen de wifi gratuíto.",http://www.turismodevigo.org/sites/turismodevigo/files/alo008.jpg,42.2317513223495,-8.71479010122542,,gl-ES
8235,Argentino,alojamientos,14,Hotel,Hotel de 1 estrela,"Lepanto, 8",36201,986443247,www.hotelargentino.es,"O Hotel Arxentino é un novo establecemento en Vigo con tódalas vantaxes que iso supón: impecable e moderno no seu equipamento, no seu mobiliario e no seu deseño.",http://www.turismodevigo.org/sites/turismodevigo/files/alo007.jpg,42.2347263889189,-8.71590137723012,,gl-ES
8234,Zénit Vigo,alojamientos,14,Hotel,Hotel de 3 estrelas,"Gran Vía, 1",36204,986417255,www.zenithoteles.com,Dispón de 99 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo006.jpg,42.2343313426205,-8.71630422916759,,gl-ES
8233,Tryp Los Galeones,alojamientos,14,Hotel,Hotel de 4 estrelas,"Avda. de Madrid, 21",32604,986480405,www.galeones.com,"O Tryp Los Galeones, está situado no centro de Vigo. Na principal entrada á cidade polo acceso de Madrid N-120. A pouca distancia dos puntos turísticos de maior interese do casco urbano.",http://www.turismodevigo.org/sites/turismodevigo/files/alo005.jpg,42.2280127853506,-8.7176606920481,,gl-ES
8232,"Tres Luces, Las",alojamientos,14,Hotel,Hotel de 3 estrelas,"Cuba, 19",36204,986480250,www.hotel3luces.com,"O Sercotel Hotel Tres Luces é un elegante e confortable hotel en Vigo situado a poucos metros da Estación de Trens, en pleno núcleo financeiro e comercial e a poucos minutos do centro histórico de Vigo.",http://www.turismodevigo.org/sites/turismodevigo/files/alo004.jpg,42.2326516695984,-8.71654899326392,,gl-ES
8253,La Nueva Colegiata,alojamientos,24,Pensión,Pensión 2 estrelas,"Praza da Igrexa, 3",1º e 2ª,36202,986220952,La pensión cuenta con 10 plazas repartidas en 10 habitaciones.,,42.2390881520984,-8.72641772252373,,gl-ES
8254,La Nueva Palma,alojamientos,24,Pensión,Pensión 1 estrela,"La Palma, 7 1ºE 2º",36202,986430678,,A pensión conta con 20 prazas repartidas en 10 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo026.jpg,42.2390772639938,-8.72574361939855,,gl-ES
8255,Lalín,alojamientos,24,Pensión,Pensión 2 estrelas,"Avda. de La Florida, 14",36210,986232699,www.hostallalin.com,A pensión conta con 21 prazas repartidas en 14 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo027.jpg,42.2195541804837,-8.73505148415907,,gl-ES
8273,Viturro,alojamientos,24,Pensión,Pensión 1 estrela,"Lepanto, 22",36201,986437332,,Dispón de 6 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo045.jpg,42.2346596196207,-8.71530336795484,,gl-ES
8272,Vista Alegre,alojamientos,24,Pensión,Pensión 1 estrela,"Tomás A. Alonso, 204",36208,605082575,,Dispón de 13 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo044.jpg,42.2238165953766,-8.75052370458836,,gl-ES
8271,Verde Mar,alojamientos,24,Pensión,Pensión 1 estrela,"Avda. Samil, 75",36200,986206372,www.hotelverdemar.es,A pensión conta con 44 prazas repartidas en 22 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo043.jpg,42.205607689023,-8.7765583044878,,gl-ES
8270,Tres Países,alojamientos,24,Pensión,Pensión 2 estrelas,"Venezuela, 61",36204,986420477,www.hostallostrespaises.com,A pensión conta con 19 prazas repartidas en 11 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo042.jpg,42.2313845760635,-8.71588383008932,,gl-ES
8269,Ría de Vigo,alojamientos,24,Pensión,Pensión 2 estrelas,"Cervantes, 14",36201,986737240,www.hostalriadevigo.com,A pensión conta con 13 prazas repartidas en 10 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo041.jpg,42.2356170221152,-8.71712092719076,,gl-ES
8268,Ría de Arosa,alojamientos,24,Pensión,Pensión 2 estrelas,"Cervantes, 4",36201,986435096,,A pensión conta con 8 prazas repartidas en 4 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo040.jpg,42.2361680542294,-8.71674708213472,,gl-ES
8266,Puerto,alojamientos,24,Pensión,Pensión 1 estrela,"Areal, 3",36201,986222044,,Dispón de 3 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo038.jpg,42.2391501864518,-8.71788865728106,,gl-ES
8265,Plaza,alojamientos,24,Pensión,Pensión 2 estrelas,"Urzáiz, 75 - 3º",36204,986224254,www.hostalplazavigo.com,A pensión conta con 9 prazas repartidas en 6 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo037.jpg,42.2332687574994,-8.71299033254886,,gl-ES
8263,Obdulia,alojamientos,24,Pensión,Pensión 1 estrela,"Avda. de Galicia, 162",36216,986279509,,A pensión conta con 10 prazas repartidas en 5 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo035.jpg,42.2514954033883,-8.68920886365754,,gl-ES
8262,O' Rancheiro,alojamientos,24,Pensión,Pensión 2 estrelas,"Baixada ao Castelo, 70",36214,986423919,,A pensión conta con 24 prazas repartidas en 14 habitacións.,,42.2147854734504,-8.68262120003004,,gl-ES
8261,Nuevo Alonso,alojamientos,24,Pensión,Pensión 1 estrela,"Xestoso , 306",36214,986375878,,Dispón de 14 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo033.jpg,42.208594615496,-8.66930026578842,,gl-ES
8260,Nuestra Señora del Carmen,alojamientos,24,Pensión,Pensión 1 estrela,"Do Carmo, 31",36210,986472729,,Dispón de 18 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo032.jpg,42.2189559980405,-8.72919430843667,,gl-ES
8259,Noso Lar,alojamientos,24,Pensión,Pensión 1 estrela,"Urzaiz, 53 -1º",36201,986224259,www.hostalnosolar.com,A pensión conta con 27 prazas repartidas en 16 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo031.jpg,42.2344794223445,-8.71613101010919,,gl-ES
8257,Manolo,alojamientos,24,Pensión,Pensión 1 estrela,"Tomás Paredes, 25",36208,986231096,www.pensioncasamanolo.es,Dispón de 5 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo029.jpg,42.2203968502362,-8.75379930459881,,gl-ES
8256,Madrid,alojamientos,24,Pensión,Pensión 1 estrela,"Alfonso XIII, 25 - 3º",36201,986221302,,A pensión conta con 26 prazas repartidas en 15 habitacións.,http://www.turismodevigo.org/sites/turismodevigo/files/alo028.jpg,42.2347520405232,-8.71477742091729,,gl-ES
8229,Puerta del Sol,alojamientos,14,Hotel,Hotel de 2 estrelas,"Puerta del Sol, 14",36202,986222364,www.alojamientosvigo.com/spa/hotel_habitaciones.php,"O Puerta del Sol é un hotel situado en pleno centro histórico de Vigo, un novo concepto en hoteis de cidade, construído nun edificio restaurado do século XIX e renovado recentemente.",http://www.turismodevigo.org/sites/turismodevigo/files/alo001.jpg,42.2381420065331,-8.72601112786843,,gl-ES
8267,Lar Atlántica,alojamientos,24,Pensión,Pensión 1 estrela,"Urzáiz, 83-1ºA",36204,616706948,www.laratlantica.com,Dispón de 7 habitacións.,,42.2329962513866,-8.71229788537192,,gl-ES
